rep,dutycycle,frequency,max_amplitude
1,0.0,0.0,1400.3492
2,0.0,0.0,1563.0298
3,0.0,0.0,1235.5413
4,0.0,0.0,1385.2479
5,0.0,0.0,1158.7125
6,0.1,20.0,1182.7029
7,0.1,20.0,908.2921
8,0.1,20.0,908.2921
9,0.1,30.0,858.0366
10,0.1,30.0,710.9571
11,0.1,30.0,860.5343
12,0.1,40.0,759.1158
13,0.1,40.0,655.7539
14,0.1,40.0,957.0795
15,0.1,50.0,957.0795
16,0.1,50.0,731.0569
17,0.1,50.0,787.9884
18,0.1,60.0,664.4472
19,0.1,60.0,664.4472
20,0.1,60.0,655.4195
21,0.3,20.0,731.4634
22,0.3,20.0,731.4634
23,0.3,20.0,555.6331
24,0.3,30.0,583.5866
25,0.3,30.0,1003.7267
26,0.3,30.0,857.2994
27,0.3,40.0,669.575
28,0.3,40.0,669.575
29,0.3,40.0,596.2978
30,0.3,50.0,688.2821
31,0.3,50.0,839.5795
32,0.3,50.0,765.2108
33,0.3,60.0,643.7191
34,0.3,60.0,657.2292
35,0.3,60.0,632.9947
36,0.5,20.0,581.2064
37,0.5,20.0,581.2064
38,0.5,20.0,223.0385
39,0.5,30.0,1029.4162
40,0.5,30.0,1029.4162
41,0.5,30.0,537.7752
42,0.5,40.0,994.5047
43,0.5,40.0,650.7602
44,0.5,40.0,853.3419
45,0.5,50.0,622.4357
46,0.5,50.0,622.4357
47,0.5,50.0,606.0961
48,0.5,60.0,789.5553
49,0.5,60.0,724.8479
50,0.5,60.0,724.8479
51,0.7,20.0,454.9649
52,0.7,20.0,679.4511
53,0.7,20.0,1051.9972
54,0.7,30.0,611.1037
55,0.7,30.0,482.262
56,0.7,30.0,460.5958
57,0.7,40.0,310.8708
58,0.7,40.0,892.2695
59,0.7,40.0,892.2695
60,0.7,50.0,342.7679
61,0.7,50.0,282.311
62,0.7,50.0,282.311
63,0.7,60.0,445.6623
64,0.7,60.0,736.1812
65,0.7,60.0,694.3948
66,0.9,20.0,579.8231
67,0.9,20.0,974.9607
68,0.9,20.0,293.4147
69,0.9,30.0,1233.2046
70,0.9,30.0,1233.2046
71,0.9,30.0,653.1682
72,0.9,40.0,548.6714
73,0.9,40.0,646.8233
74,0.9,40.0,1080.0666
75,0.9,50.0,1080.0666
76,0.9,50.0,1008.8871
77,0.9,50.0,246.8565
78,0.9,60.0,277.2779
79,0.9,60.0,277.2779
80,0.9,60.0,278.4667
