Time,fwEMG 3,Subject,MVC,Trial
319.3590909090909,-0.1470373739769503,S01,10,1
421.76363636363635,-0.16573018574812914,S01,10,2
472.3909090909091,-0.14861979918335516,S01,10,3
464.25,-0.24525142244715198,S01,25,1
456.8727272727273,-0.25607083774326045,S01,25,2
433.9136363636364,-0.19286409697874562,S01,25,3
489.49545454545455,-0.2744822933544731,S01,50,1
442.9727272727273,-0.3402499936817548,S01,50,2
259.2409090909091,-0.24677919007931567,S01,50,3
463.1545454545454,-0.5952156408838414,S02,10,1
487.80454545454546,0.1896843447083535,S02,10,2
489.6227272727273,0.13240783024414055,S02,10,3
459.6045454545455,0.39550452967839184,S02,25,1
484.7909090909091,0.3484159346890429,S02,25,2
496.69545454545454,0.3580179080229956,S02,25,3
380.9681818181818,-0.8919442555646494,S02,50,1
404.8454545454546,0.4746365656004128,S02,50,2
493.48636363636365,0.3501083463626683,S02,50,3
488.2772727272727,-0.041165163258565625,S03,10,1
472.6227272727273,-0.05999681841809753,S03,10,2
412.5090909090909,-0.04861497934174855,S03,10,3
465.6818181818182,-0.14152403532099378,S03,25,1
426.3909090909091,-0.17479146093338732,S03,25,2
437.2818181818182,-0.12459864774847747,S03,25,3
346.41818181818184,0.2307128924562901,S03,50,1
452.75,-0.12808219545786392,S03,50,2
348.0181818181818,0.17053434407839038,S03,50,3
377.02272727272725,0.20655232176255317,S04,10,1
286.17727272727274,0.258579116649196,S04,10,2
350.05454545454546,0.26423236842129505,S04,10,3
432.3363636363636,0.268065949269396,S04,25,1
263.3818181818182,0.09995653439802468,S04,25,2
447.49545454545455,0.07945742060601614,S04,25,3
494.3181818181818,0.674457288158548,S04,50,1
414.3772727272727,0.6161809809525334,S04,50,2
399.6909090909091,0.5892849537270968,S04,50,3
9.7,-0.054564723378995594,S05,10,1
384.0590909090909,-0.10795938744465933,S05,10,2
447.7409090909091,-0.09195163235643425,S05,10,3
494.42727272727274,-0.17475063920671025,S05,25,1
443.0,0.19264647103230598,S05,25,2
484.3,0.22742266128592625,S05,25,3
441.55,-0.3761617433607175,S05,50,1
472.5090909090909,-0.243086996671858,S05,50,2
493.2909090909091,-0.2120398509946955,S05,50,3
341.5590909090909,0.3939496061429034,S07,10,1
351.8454545454546,0.2640074577006582,S07,10,2
442.81363636363636,-0.2634857400355363,S07,10,3
418.4590909090909,0.40545505498479645,S07,25,1
411.70454545454544,0.2506426206316479,S07,25,2
418.43636363636364,0.2683584556786006,S07,25,3
308.58181818181816,-0.2384080316743518,S07,50,1
480.1545454545454,-0.24554381463406197,S07,50,2
426.1636363636364,0.4885821722044142,S07,50,3
