timestamp,ch1 (µV),event
74.28,-983.37,0
74.285,-1093.65,0
74.29,-981.27,1
74.295,-1027.14,0
74.3,-1027.14,0
74.305,-1027.14,0
74.31,-997.91,0
74.315,-1061.49,0
74.32,-955.53,0
74.325,-924.5,0
74.33,-1012.94,0
74.335,-1890.39,0
74.34,-1890.39,0
74.345,-1890.39,0
74.35,-1890.39,0
74.355,-1867.42,0
74.36,-1867.42,0
74.365,-1971.24,0
74.37,-1971.24,0
74.375,-1897.29,0
74.38,-1897.29,0
74.385,-1880.04,0
74.39,-1880.04,0
74.395,-1017.17,0
74.4,-1880.04,0
74.405,-1671.54,0
74.41,-1671.54,0
74.415,-1428.09,0
74.42,-1428.09,0
74.425,90.88,0
74.43,90.88,0
74.435,-54.02,0
74.44,-54.02,0
74.445,-23.61,0
74.45,-23.61,0
74.455,-23.61,0
74.46,-23.61,0
74.465,-66.19,0
74.47,-66.19,0
74.475,-66.19,0
74.48,-5.79,0
74.485,-66.19,0
74.49,-12.6,0
74.495,-12.6,0
74.5,-2035.93,0
74.505,0.26,0
74.51,0.26,0
74.515,0.26,0
74.52,16.59,0
74.525,-101.85,0
74.53,-23.8,0
74.535,-23.8,0
74.54,7.08,0
74.545,7.08,0
74.55,-31.28,0
74.555,-31.28,0
74.56,-31.28,0
74.565,-31.28,0
74.57,-31.28,0
74.575,-31.28,0
74.58,-31.28,0
74.585,18.34,0
74.59,4.97,0
74.595,4.97,0
74.6,23.76,0
74.605,23.76,0
74.61,2.56,0
74.615,2.56,0
74.62,9.49,0
74.625,9.49,0
74.63,9.49,0
74.635,9.49,0
74.64,9.49,0
74.645,9.49,0
74.65,9.49,0
74.655,9.49,0
74.66,-73.22,0
74.665,-1.82,0
74.67,-1.82,0
74.675,-22.72,0
74.68,-21.32,0
74.685,-15.42,0
74.69,-15.42,0
74.695,5.14,0
74.7,5.14,0
74.705,9.96,0
74.71,5.14,0
74.715,-24.93,0
74.72,-24.93,0
74.725,26.39,0
74.73,26.39,0
74.735,-6.04,0
74.74,1.55,0
74.745,1.55,0
74.75,1.55,0
74.755,1.55,0
74.76,16.53,0
74.765,16.53,0
74.77,6.87,0
74.775,-19.59,0
74.78,13.83,0
74.785,12.33,0
74.79,-21.17,0
74.795,1.55,0
74.8,-21.17,0
74.805,9.46,0
74.81,-17.92,0
74.815,-17.92,0
74.82,-1.48,0
74.825,6.29,0
74.83,37.03,0
74.835,37.03,0
74.84,29.28,0
74.845,-141.74,0
74.85,-141.74,0
74.855,-125.07,0
74.86,1.55,0
74.865,-108.12,0
74.87,-108.12,0
74.875,37.03,0
