timestamp,ch1 (µV),event
7.905,-7.06,0
7.91,-7.06,0
7.915,1.27,0
7.92,13.58,0
7.925,-11.85,0
7.93,-11.85,0
7.935,-7.59,0
7.94,-11.85,0
7.945,-11.85,0
7.95,-11.85,0
7.955,11.95,0
7.96,11.95,0
7.965,-6.73,0
7.97,-6.73,0
7.975,-7.06,0
7.98,-9.81,0
7.985,-9.81,0
7.99,9.25,0
7.995,10.37,0
8.0,10.37,0
8.005,6.97,0
8.01,6.97,0
8.015,6.97,0
8.02,-6.08,0
8.025,-6.08,0
8.03,10.47,0
8.035,10.47,0
8.04,10.47,0
8.045,10.47,0
8.05,19.77,0
8.055,-9.4,0
8.06,-8.57,0
8.065,11.42,0
8.07,12.06,0
8.075,18.56,0
8.08,7.41,0
8.085,7.41,0
8.09,22.79,0
8.095,22.79,0
8.1,22.79,0
8.105,22.79,0
8.11,9.68,0
8.115,21.29,0
8.12,11.03,0
8.125,11.03,0
8.13,11.03,0
8.135,11.03,0
8.14,11.03,0
8.145,11.03,0
8.15,-1.13,0
8.155,-11.9,0
8.16,-11.9,0
8.165,-13.99,0
8.17,0.43,0
8.175,0.66,0
8.18,0.66,0
8.185,0.66,0
8.19,0.66,0
8.195,10.26,0
8.2,-10.7,0
8.205,12.03,0
8.21,17.06,0
8.215,17.06,0
8.22,-3.26,0
8.225,20.99,0
8.23,20.99,0
8.235,20.99,0
8.24,20.99,0
8.245,0.66,0
8.25,17.64,0
8.255,18.97,0
8.26,-2.17,0
8.265,-9.22,0
8.27,17.72,0
8.275,17.72,0
8.28,-13.66,0
8.285,-13.66,0
8.29,19.69,0
8.295,17.88,0
8.3,3.33,0
8.305,3.33,0
8.31,0.14,0
8.315,0.14,0
8.32,-10.19,0
8.325,16.62,0
8.33,16.62,0
8.335,7.49,0
8.34,1.87,0
8.345,1.87,0
8.35,21.35,0
8.355,21.35,0
8.36,21.35,0
8.365,19.95,0
8.37,19.95,0
8.375,-1.12,0
8.38,-13.83,0
8.385,16.02,0
8.39,16.02,0
8.395,-15.92,0
8.4,-15.92,0
8.405,-0.81,0
8.41,-15.92,0
8.415,-0.26,0
8.42,-0.26,0
8.425,-0.26,0
8.43,0.03,0
8.435,0.03,0
8.44,21.54,0
8.445,-6.36,0
8.45,16.9,0
8.455,16.9,0
8.46,16.9,0
8.465,16.9,0
8.47,16.9,0
8.475,16.9,0
8.48,19.13,0
8.485,20.07,0
8.49,20.07,0
8.495,12.5,0
8.5,-0.91,0
8.505,2.52,0
8.51,-1.45,0
8.515,-1.45,0
8.52,32.21,0
8.525,20.87,0
8.53,-12.01,0
8.535,-12.01,0
8.54,2.85,0
8.545,2.85,0
8.55,-3.35,0
8.555,-3.35,0
8.56,19.46,0
8.565,-10.46,0
8.57,-10.46,0
8.575,18.54,0
8.58,15.77,0
8.585,15.77,0
8.59,15.77,0
8.595,2.01,0
8.6,2.01,0
8.605,-10.95,0
8.61,-10.95,0
8.615,19.1,0
8.62,10.48,0
8.625,1.86,0
8.63,21.9,0
8.635,19.58,0
8.64,19.58,0
8.645,-13.78,0
8.65,-13.78,0
8.655,12.21,0
8.66,-13.78,0
8.665,-3.99,0
8.67,-3.99,0
8.675,-3.38,0
8.68,-14.89,0
8.685,-14.89,0
8.69,2.02,0
8.695,16.5,0
8.7,16.5,0
8.705,16.5,0
8.71,19.27,0
8.715,1.84,0
8.72,1.84,0
8.725,17.97,0
8.73,7.54,0
8.735,18.34,0
8.74,18.34,0
8.745,0.0,0
8.75,0.0,0
8.755,0.3,0
8.76,0.3,0
8.765,18.84,0
8.77,18.84,0
8.775,-12.72,0
8.78,16.34,0
8.785,22.8,0
8.79,-2.96,0
8.795,-2.96,0
8.8,-2.96,0
8.805,22.44,0
8.81,22.44,0
8.815,16.97,0
8.82,16.69,0
8.825,16.69,0
8.83,16.69,0
8.835,-0.6,0
8.84,-0.6,0
8.845,19.39,0
8.85,19.39,0
8.855,18.5,0
8.86,18.5,0
8.865,0.13,0
8.87,0.13,0
8.875,0.13,0
8.88,0.13,0
8.885,18.53,0
8.89,-14.23,0
8.895,-14.23,0
8.9,3.92,0
8.905,3.92,0
8.91,3.92,0
8.915,-0.01,0
8.92,-0.01,0
8.925,-0.01,0
8.93,-13.37,0
8.935,-13.37,0
8.94,17.99,0
8.945,17.99,0
8.95,-4.35,0
8.955,-4.35,0
8.96,-4.35,0
8.965,11.06,0
8.97,-10.03,0
8.975,13.77,0
8.98,13.77,0
8.985,-13.37,0
8.99,13.77,0
8.995,17.66,0
9.0,22.59,0
9.005,-7.97,0
9.01,-7.97,0
9.015,14.97,0
9.02,14.97,0
9.025,-6.32,0
9.03,-13.38,0
9.035,22.26,0
9.04,22.26,0
9.045,22.26,0
9.05,-6.32,0
9.055,9.18,0
9.06,-11.75,0
9.065,-11.75,0
9.07,20.4,0
9.075,23.08,0
9.08,-6.73,0
9.085,-6.73,0
9.09,8.22,0
9.095,8.22,0
9.1,13.08,0
9.105,13.08,0
9.11,21.97,0
9.115,21.97,0
9.12,21.97,0
9.125,21.97,0
9.13,21.97,0
9.135,21.97,0
9.14,21.97,0
9.145,21.97,0
9.15,21.97,0
9.155,-9.45,0
9.16,-9.45,0
9.165,-5.87,0
9.17,-5.87,0
9.175,6.96,0
9.18,6.96,0
9.185,-10.91,0
9.19,16.49,0
9.195,21.08,0
9.2,24.35,0
9.205,24.35,0
9.21,24.35,0
9.215,7.87,0
9.22,7.87,0
9.225,13.36,0
9.23,13.36,0
9.235,21.54,0
9.24,21.54,0
9.245,-6.4,0
9.25,-6.4,0
9.255,9.93,0
9.26,9.93,0
9.265,15.23,0
9.27,-3.27,0
9.275,-13.32,0
9.28,-13.32,0
9.285,-2.21,0
9.29,7.96,0
9.295,-13.32,0
9.3,7.96,0
9.305,5.72,0
9.31,14.09,0
9.315,23.13,0
9.32,23.13,0
9.325,23.13,0
9.33,6.14,0
9.335,15.23,0
9.34,13.04,0
9.345,13.04,0
9.35,13.04,0
9.355,21.32,0
9.36,24.84,0
9.365,-0.96,0
9.37,-0.96,0
9.375,-0.96,0
9.38,-0.96,0
9.385,14.06,0
9.39,-9.15,0
9.395,-13.68,0
9.4,17.97,0
9.405,-6.61,0
9.41,-6.61,0
9.415,3.35,0
9.42,3.35,0
9.425,11.1,0
9.43,11.1,0
9.435,-11.58,0
9.44,22.75,0
9.445,22.75,0
9.45,22.75,0
9.455,5.53,0
9.46,5.53,0
9.465,8.79,0
9.47,-14.0,0
9.475,-14.0,0
9.48,23.35,0
9.485,23.35,0
9.49,23.35,0
9.495,23.35,0
9.5,14.07,0
9.505,14.07,0
9.51,-9.55,0
9.515,-9.55,0
9.52,-4.85,0
9.525,-4.85,0
9.53,6.63,0
9.535,6.63,0
9.54,6.63,0
9.545,-4.85,0
9.55,-8.79,0
9.555,-8.79,0
9.56,-8.79,0
9.565,-4.48,0
9.57,6.63,0
9.575,21.81,0
9.58,-9.19,0
9.585,-9.19,0
9.59,-9.19,0
9.595,-9.19,0
9.6,20.85,0
9.605,20.85,0
9.61,-5.01,0
9.615,-5.01,0
9.62,18.01,0
9.625,18.01,0
9.63,18.01,0
9.635,-13.89,0
9.64,23.31,0
9.645,23.31,0
9.65,-2.3,0
9.655,-2.3,0
9.66,18.31,0
9.665,3.54,0
9.67,14.74,0
9.675,-10.73,0
9.68,-10.73,0
9.685,23.48,0
9.69,4.34,0
9.695,-7.7,0
9.7,4.62,0
9.705,0.51,0
9.71,10.94,0
9.715,10.94,0
9.72,14.74,0
9.725,19.27,0
9.73,19.27,0
9.735,-5.52,0
9.74,-5.52,0
9.745,5.39,0
9.75,5.39,0
9.755,13.09,0
9.76,6.13,0
9.765,-7.5,0
9.77,-4.0,0
9.775,-4.0,0
9.78,-4.0,0
9.785,-13.25,0
9.79,-13.25,0
9.795,14.93,0
9.8,1.64,0
9.805,1.64,0
9.81,1.64,0
9.815,20.73,0
9.82,21.14,0
9.825,21.14,0
9.83,21.14,0
9.835,17.7,0
9.84,17.7,0
9.845,4.1,0
9.85,4.1,0
9.855,25.6,0
9.86,25.6,0
9.865,-9.7,0
9.87,-9.7,0
9.875,-9.7,0
9.88,-9.7,0
9.885,5.93,0
9.89,5.93,0
9.895,-5.65,0
9.9,-5.65,0
9.905,-10.52,0
9.91,-10.52,0
9.915,15.76,0
9.92,7.14,0
9.925,7.14,0
9.93,7.14,0
9.935,-4.55,0
9.94,-4.55,0
9.945,20.37,0
9.95,20.37,0
9.955,16.24,0
9.96,2.23,0
9.965,2.23,0
9.97,2.23,0
9.975,-6.47,0
9.98,18.67,0
9.985,-15.07,0
9.99,-15.07,0
9.995,-15.07,0
10.0,-15.07,0
10.005,4.96,0
10.01,4.96,0
10.015,-3.75,0
10.02,-3.75,0
10.025,-3.75,0
10.03,-3.75,0
10.035,20.63,0
10.04,20.63,0
10.045,-1.49,0
10.05,-1.49,0
10.055,-1.49,0
10.06,-1.49,0
10.065,16.41,0
10.07,16.41,0
10.075,15.81,0
10.08,15.81,0
10.085,8.34,0
10.09,-6.03,0
10.095,-6.03,0
10.1,-6.03,0
10.105,23.03,0
10.11,23.03,0
10.115,23.03,0
10.12,7.07,0
10.125,7.07,0
10.13,-3.49,0
10.135,-3.49,0
10.14,-16.02,0
10.145,20.72,0
10.15,13.79,0
10.155,13.79,0
10.16,13.79,0
10.165,13.79,0
10.17,24.27,0
