timestamp,ch1 (µV),event
5.345,-9.38,0
5.35,-9.38,0
5.355,-9.38,0
5.36,-9.38,0
5.365,9.03,0
5.37,9.03,0
5.375,-3.64,0
5.38,-3.64,0
5.385,-3.64,0
5.39,-5.55,0
5.395,-5.55,0
5.4,-5.7,0
5.405,16.91,0
5.41,16.53,0
5.415,16.53,0
5.42,16.53,0
5.425,16.53,0
5.43,16.53,0
5.435,16.53,0
5.44,8.84,0
5.445,8.84,0
5.45,17.84,0
5.455,17.84,0
5.46,-3.64,0
5.465,-6.17,0
5.47,-6.17,0
5.475,-6.17,0
5.48,-6.17,0
5.485,9.24,0
5.49,9.24,0
5.495,-5.15,0
5.5,-8.39,0
5.505,-6.41,0
5.51,-6.41,0
5.515,9.71,0
5.52,3.16,0
5.525,3.16,0
5.53,9.24,0
5.535,-6.4,0
5.54,-6.4,0
5.545,19.21,0
5.55,19.21,0
5.555,8.24,0
5.56,8.24,0
5.565,7.99,0
5.57,7.99,0
5.575,-6.4,0
5.58,-3.98,0
5.585,-5.15,0
5.59,-5.15,0
5.595,-5.15,0
5.6,-5.15,0
5.605,9.42,0
5.61,9.42,0
5.615,-4.86,0
5.62,-4.86,0
5.625,-4.24,0
5.63,-4.24,0
5.635,9.41,0
5.64,9.41,0
5.645,8.04,0
5.65,8.04,0
5.655,-5.42,0
5.66,-5.42,0
5.665,19.22,0
5.67,19.22,0
5.675,-3.98,0
5.68,14.85,0
5.685,14.73,0
5.69,14.73,0
5.695,-0.52,0
5.7,-0.52,0
5.705,0.16,0
5.71,0.16,0
5.715,16.81,0
5.72,16.81,0
5.725,15.46,0
5.73,18.35,0
5.735,1.22,0
5.74,1.22,0
5.745,-0.05,0
5.75,-0.05,0
5.755,-7.59,0
5.76,-7.59,0
5.765,14.75,0
5.77,14.75,0
5.775,14.75,0
5.78,14.75,0
5.785,14.75,0
5.79,-0.12,0
5.795,-0.12,0
5.8,13.63,0
5.805,-7.17,0
5.81,18.09,0
5.815,0.57,0
5.82,0.57,0
5.825,0.57,0
5.83,0.57,0
5.835,0.59,0
5.84,0.59,0
5.845,-7.0,0
5.85,-7.0,0
5.855,2.33,0
5.86,2.33,0
5.865,5.06,0
5.87,5.06,0
5.875,5.06,0
5.88,5.06,0
5.885,17.31,0
5.89,17.31,0
5.895,-6.48,0
5.9,-6.48,0
5.905,17.48,0
5.91,17.48,0
5.915,17.48,0
5.92,14.39,0
5.925,14.39,0
5.93,14.39,0
5.935,16.1,0
5.94,16.1,0
5.945,-1.8,0
5.95,-1.8,0
5.955,15.28,0
5.96,15.28,0
5.965,-9.55,0
5.97,7.35,0
5.975,-9.55,0
5.98,6.78,0
5.985,-12.01,0
5.99,2.53,0
5.995,2.53,0
6.0,-8.06,0
6.005,-8.06,0
6.01,19.24,0
6.015,19.24,0
6.02,19.24,0
6.025,19.24,0
6.03,2.08,0
6.035,2.08,0
6.04,13.61,0
6.045,13.61,0
6.05,19.36,0
6.055,19.36,0
6.06,-1.79,0
6.065,-1.91,0
6.07,2.82,0
6.075,2.82,0
6.08,2.82,0
6.085,18.32,0
6.09,-9.55,0
6.095,-9.55,0
6.1,1.52,0
6.105,1.52,0
6.11,4.43,0
6.115,4.43,0
6.12,-8.4,0
6.125,-8.4,0
6.13,14.87,0
6.135,14.87,0
6.14,14.87,0
6.145,14.87,0
6.15,14.87,0
6.155,5.57,0
6.16,15.22,0
6.165,15.22,0
6.17,19.96,0
6.175,19.96,0
6.18,2.91,0
6.185,2.91,0
6.19,2.91,0
6.195,2.91,0
6.2,16.54,0
6.205,-12.09,0
6.21,-12.09,0
6.215,-12.09,0
6.22,-1.56,0
6.225,-1.56,0
6.23,4.36,0
6.235,4.36,0
6.24,4.36,0
6.245,4.53,0
6.25,-8.16,0
6.255,19.28,0
6.26,19.28,0
6.265,3.57,0
6.27,14.89,0
6.275,12.44,0
6.28,12.44,0
6.285,12.44,0
6.29,12.44,0
6.295,18.31,0
6.3,18.31,0
6.305,-5.4,0
6.31,-5.4,0
6.315,15.44,0
6.32,15.44,0
6.325,2.19,0
6.33,15.44,0
6.335,15.44,0
6.34,15.44,0
6.345,-1.18,0
6.35,6.15,0
6.355,20.55,0
6.36,4.01,0
6.365,-9.84,0
6.37,-9.84,0
6.375,19.1,0
6.38,19.1,0
6.385,19.1,0
6.39,19.1,0
6.395,19.1,0
6.4,19.1,0
6.405,2.89,0
6.41,2.89,0
6.415,2.89,0
6.42,20.82,0
6.425,20.82,0
6.43,0.24,0
6.435,0.24,0
6.44,7.81,0
6.445,-9.96,0
6.45,-9.96,0
6.455,-9.96,0
6.46,-9.96,0
6.465,1.15,0
6.47,1.15,0
6.475,5.26,0
6.48,5.26,0
6.485,-8.15,0
