peak_id,timestamp,amplitude,min_amplitude,mean_frequency,median_frequency,predicted_class,confidence,prob_10,prob_25,prob_50
1,0.02,-1100.7375259801338,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.9089724,0.9089724,0.06974773,0.021279877
2,9.955,-6157.732809535235,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.9089724,0.9089724,0.06974773,0.021279877
3,11.275,10845.141540948549,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
4,18.9,6080.574928171862,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
5,23.81,-5398.560098937602,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.9089724,0.9089724,0.06974773,0.021279877
6,26.26,-1650.2207182272618,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.9089724,0.9089724,0.06974773,0.021279877
7,31.165,923.9612740563874,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
8,35.245,2917.2433974806295,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
9,43.425,5708.951809316634,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
10,49.17,-5065.245567022355,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.9089724,0.9089724,0.06974773,0.021279877
11,53.215,6476.409100948387,-6157.732809535235,11.515511384261949,3.5027092113184835,10,0.7263103,0.7263103,0.20961878,0.06407091
