timestamp,ch1 (µV),event
65.34,-44.4,0
65.345,-70.15,0
65.35,-70.15,0
65.355,-70.15,1
65.36,-70.15,0
65.365,-13.59,0
65.37,7.25,0
65.375,-13.59,0
65.38,-47.73,0
65.385,-6.16,0
65.39,-17.73,0
65.395,37.31,0
65.4,22.74,0
65.405,22.74,0
65.41,22.74,0
65.415,22.74,0
65.42,63.21,0
65.425,63.21,0
65.43,-26.03,0
65.435,-26.03,0
65.44,38.0,0
65.445,31.31,0
65.45,31.31,0
65.455,-17.52,0
65.46,3.95,0
65.465,-14.46,0
65.47,-14.46,0
65.475,74.63,0
65.48,74.63,0
65.485,102.06,0
65.49,-3.49,0
65.495,146.65,0
65.5,146.65,0
65.505,0.61,0
65.51,146.65,0
65.515,122.81,0
65.52,54.22,0
65.525,122.81,0
65.53,134.41,0
65.535,632.78,0
65.54,632.78,0
65.545,607.15,0
65.55,607.15,0
65.555,607.15,0
65.56,24.93,0
65.565,607.15,0
65.57,607.15,0
65.575,808.38,0
65.58,-4.26,0
65.585,568.76,0
65.59,568.76,0
65.595,-136.94,0
65.6,-136.94,0
65.605,188.04,0
65.61,607.15,0
65.615,642.57,0
65.62,642.57,0
65.625,642.57,0
65.63,642.57,0
65.635,315.22,0
65.64,315.22,0
65.645,134.41,0
65.65,1330.07,0
65.655,1330.07,0
65.66,1330.07,0
65.665,1330.07,0
65.67,1690.42,0
65.675,1507.08,0
65.68,1507.08,0
65.685,2302.31,0
65.69,2302.31,0
65.695,792.44,0
65.7,2668.77,0
65.705,2668.77,0
65.71,2484.8,0
65.715,790.69,0
65.72,2286.73,0
65.725,2286.73,0
65.73,2286.73,0
65.735,2286.73,0
65.74,3645.51,0
65.745,3645.51,0
65.75,3593.68,0
65.755,3593.68,0
65.76,618.59,0
65.765,3260.98,0
65.77,1769.45,0
65.775,4255.15,0
65.78,4255.15,0
65.785,4580.09,0
65.79,1637.23,0
65.795,4443.59,0
65.8,4443.59,0
65.805,4443.59,0
65.81,1316.03,0
65.815,5248.47,0
65.82,5605.69,0
65.825,5605.69,0
65.83,5605.69,0
65.835,5560.68,0
65.84,4252.31,0
65.845,5429.29,0
65.85,5228.46,0
65.855,2628.37,0
65.86,2601.47,0
65.865,6594.45,0
65.87,6518.39,0
65.875,2634.34,0
65.88,6534.9,0
65.885,6534.9,0
65.89,6045.22,0
65.895,6045.22,0
65.9,6045.22,0
65.905,6488.65,0
65.91,6488.65,0
65.915,6431.76,0
65.92,6431.76,0
65.925,5728.12,0
65.93,5728.12,0
65.935,6672.11,0
65.94,6672.11,0
65.945,6672.11,0
65.95,6672.11,0
65.955,6672.11,0
65.96,6425.57,0
65.965,6425.57,0
65.97,4187.21,0
65.975,5738.11,0
65.98,6665.13,0
65.985,6665.13,0
65.99,6506.82,0
65.995,6506.82,0
66.0,6002.43,0
66.005,6002.43,0
66.01,6542.47,0
66.015,349.36,0
66.02,349.36,0
66.025,349.36,0
66.03,1679.39,0
66.035,1662.09,0
66.04,5728.06,0
66.045,1773.14,0
66.05,1737.23,0
66.055,1737.23,0
66.06,2084.88,0
66.065,1787.89,0
66.07,2033.92,0
66.075,2033.92,0
66.08,2033.92,0
66.085,2033.92,0
66.09,2033.92,0
66.095,1983.78,0
66.1,1983.78,0
66.105,6688.23,0
66.11,1913.27,0
66.115,1851.51,0
66.12,1926.87,0
66.125,1948.08,0
66.13,1948.08,0
66.135,2086.8,0
66.14,1993.6,0
66.145,1904.55,0
66.15,1992.5,0
66.155,1946.93,0
66.16,1946.93,0
66.165,1993.36,0
66.17,1993.36,0
66.175,1907.95,0
66.18,1907.95,0
66.185,1998.32,0
66.19,1998.32,0
66.195,1934.31,0
66.2,1996.25,0
66.205,1996.25,0
66.21,1906.16,0
